repo,hash
springframeworkguru/spring5webapp,bb70907aeb884a2e7edd3efcc7f8f3e0a4ac88c9
hongyangAndroid/okhttputils,11fdc3c7368e481cc182e79188973418bc5d0939
TooTallNate/Java-WebSocket,bc180ae07e9ae3d539d2c1dbf3a9199a97dda926
yuanguangxin/LeetCode,f58a68dcb18ba5382256e95275dac863c5fd8e1e
stleary/JSON-java,beb2fb570674a6ce62f37b344e9ab4445b7a7899
databricks/learning-spark,6b34161e2c1351500784a0d500c664c90846cacf
springside/springside4,8950746bb53ce209b4cb5d2d1706712e9c6a0efc
Blankj/awesome-java-leetcode,0d17728bfbe128132b21156dce19d4a5aa5001e9
527515025/springBoot,8fadfc31240917e2e9347ec8c394c774082e8d8f
youtube/api-samples,07263305b59a7c3275bc7e925f9ce6cabf774022
dropwizard/metrics,053ead4706b133381e9817b3386fcc17f3cf786f
OpenFeign/feign,80bdec06a4cda5bb457783e9b4f569efe0d1ce9a
doocs/jvm,2cc29d991341d9a7cdf4ac5deeb5cf5b85ffcfd5
careercup/ctci,48950f46d346cd3472aa276443f20db6830ed9e0
android/testing-samples,910bd7cb2a983390ab7dbd74e296607408dcc5a8
brianfrankcooper/YCSB,ce3eb9ce51c84ee9e236998cdd2cefaeb96798a8
nathanmarz/storm,cdb116e942666973bc4eaa0df098d5bab82739e7
crossoverJie/cim,6cff5a3feec06dc512112b5bcd85fae78f4fa505
perwendel/spark,1973e402f5d4c1442ad34a1d38ed0758079f7773
spring-cloud/spring-cloud-netflix,ba1f38bd4ff634e9c56d81efae3631ee63ef9612
macrozheng/springcloud-learning,26c48aac745b2823af024bb6baff39b75df635fb
dyc87112/SpringCloud-Learning,fb2079c338db95e2285d15e0cc36fce56c788e41
mybatis/spring,684f01f88eeddd07c32defe9a5b247001e53d820
traccar/traccar,6c78fc675501ab348f877e423b984d1a2a132ef1
swagger-api/swagger-core,fab5000141536a5a6e9e068211fde1ec1603492b
hs-web/hsweb-framework,8edda58a5c88f7983600a1faf9d9ea7e50417d28
apache/shiro,d2c9d8df50f09fe267eaad965f05e4c73d7b2cf6
rabbitmq/rabbitmq-tutorials,3a7f0deafc06b947b89b933c5fbd3232be4c5faa
twowaits/SDE-Interview-Questions,664d5e6929d1a744fb6b22dcd0050d98ccfa79d6
json-path/JsonPath,21de6207945dfca6b49809fa9dd08c3781b7ab9d
frohoff/ysoserial,2874a69f6127fd3b3f078461741910423a6b1376
tuguangquan/mybatis,0483a1dcbe92e2d226ab045420f41a85e01d6c04
knightliao/disconf,872e69c71bc34ad6f3d6bead1bb1f96a5e9cfdb4
purplecabbage/phonegap-plugins,319dfb7297002040ec7ab98896e68d05c7fd8180
apache/dubbo-spring-boot-project,feb1783a182370e4bfacd903f4bd90f94ff1a550
junit-team/junit4,16228f3ccea3c6f1170488e0e268f3601d130f75
Meituan-Dianping/Leaf,86a6441d263497b9f9ee321de13422b9c63f0c06
NanoHttpd/nanohttpd,efb2ebf85a2b06f7c508aba9eaad5377e3a01e81
quartz-scheduler/quartz,a5c4d27e963f51097f9b2777489d310a88897ca4
spring-guides/gs-spring-boot,9310814b5fb355e7da7f1999364c03fa2f54e8a8
dropwizard/dropwizard,ca828fbd753d6eddb55a0586f253eb2173ce3778
java8/Java8InAction,4786c46a24e2f7d0a749d34d585bb2c1d9f64c53
react-native-image-picker/react-native-image-picker,1c7d59cb484a4a91d8829c4eeed1763f3e5d3adc
981011512/--,1c124c982f50b728044c9ad23442abc0f4108421
abel533/Mapper,5e31029b2df157afe9031fe183f6d7795ac2aa19
mrniko/netty-socketio,5ea211d2de9d80265f4cf43a442168be5eb955b0
MyCATApache/Mycat-Server,243539fb74bbdcb9819fecc7e7b50ccf0899e671
fuzhengwei/itstack-demo-design,67b2e004766a1252726afb81517d9db84ba06476
yasserg/crawler4j,68f5c1e4fb86542e74d31c0bcb4b1ae14ba2ea71
kevin-wayne/algs4,a9c8fcf2d2f6dfa9da404dc6d951c34f245a3aee
alibaba/transmittable-thread-local,5bdfec889ae896b0093fe35a81e280bd932af474
bytedeco/javacv,b42450be42460977e6492af0b668cac34373e949
vipshop/vjtools,2f780edd504e7474b77f54665370a6a8361e3f55
udacity/ud851-Sunshine,5161f13c2826ce9ddc527e5401a770bb2304dd1d
scribejava/scribejava,b62f73aa5c3a0b103c92d85719e7e15f7d17cf83
apache/dubbo-admin,fdd3a6e4d907aff65693fee132585404fcfe7724
ssssssss-team/spider-flow,c799cca99c7d064673dc79e6ef06a08bbc0e292d
lenve/VBlog,abc45a9366c00ce81f00f1e1f336f5a053c1dc54
spring-cloud/spring-cloud-gateway,faebdea9cdbf1acb492309801cf9e5e2cc545627
joelittlejohn/jsonschema2pojo,72050f6b94d46d51d7c93c51e35383cdf5fc733f
changmingxie/tcc-transaction,d21a3d748c477fb14a175d5d05e54ef82cf68de6
spring-projects/spring-integration-samples,81da625e3c6f9cb4202c352e6a05819e55587f2b
testcontainers/testcontainers-java,e5916f1b70069fff744079facb40a3e8a8878ef9
vert-x3/vertx-examples,2341c125606d98a9e433063e75c87ec9dcc69237
rest-assured/rest-assured,718ad4b684656547a4561c1bbbbcfbec409efadf
paascloud/paascloud-master,781281a9503332ed3cef44ea618349d14230a127
Heeexy/SpringBoot-Shiro-Vue,043cd2f158d8d29ec4114eb9ead5d291bd4237a7
AsyncHttpClient/async-http-client,67325d3609052f6615ce271188773a08750beaba
alibaba/jvm-sandbox,c01c28ab5d7d97a64071a2aca261804c47a5347e
apache/maven,14d16064f69aeac554ebc8469bc44f6dec75d1ca
udacity/ud851-Exercises,b43be19784fb20c8c90055be8908ddcadc842b55
in28minutes/spring-boot-examples,62fd5519b7888077a38451f1759baeca5561199a
in28minutes/devops-master-class,7e7f341a978a36892e6b3b7028fc913ecee957ed
spring-projects/spring-data-examples,c4d1ca270fcf32a93c2a5e9d7e91a5592b7720ff
phishman3579/java-algorithms-implementation,f2d115704691e8e4f6cfe490231d0adb0c3ce7d0
weibocom/motan,c12d26537e7ce85393007a1de62c642867c7516d
runelite/runelite,893af12e1d2d6a9c981a6f9d796a822886efe35e
mybatis/generator,941661ab7830057d5a946eed8b839a9d533c39e3
mybatis/spring-boot-starter,dd04ac7c7a8ae5bbf8f381c3bec452450e1919db
MinecraftForge/MinecraftForge,1ddac54256332addbff60d2bab3a61cc34ff8d7c
code4craft/tiny-spring,2e0a2ba49c703f33fcca359a97af86094b4ded0d
apache/shenyu,a9ca7fd5e3f8ea494d0e3bf9d06dac52f60fa967
google/grafika,b1df331e89cffeab621f02b102d4c2c25eb6088a
karatelabs/karate,7211131d20bdf1ec44bc7730ceb0d459c5c843d4
cjlin1/libsvm,aed66346593ec0e075f38eda10fef0c1fb132692
baidu/uid-generator,2fcbc13d2016fcfb7648a18296951f6942215255
zhanglei-workspace/shopping-management-system,846c7d6c94047b00c3e2731426e9f6ba4720719a
Activiti/Activiti,ed0abde8924c812b6227c48a72929805d9fe39f9
devopshydclub/vprofile-project,4f26ae95e6bfc040c54a67f3ea7f4ee72145f0f4
OpenRefine/OpenRefine,f132444bcd8cbc96396b3368371f71e81e85eff7
resilience4j/resilience4j,8e3e7b864e1150e8b77135cac2566c98b4639446
gedoor/MyBookshelf,bb5a99058f387dc08d727cfe1418d294a53a9f48
react-native-video/react-native-video,c6ee2944032c4b4625f71c540a9da9dea32a1eab
TechEmpower/FrameworkBenchmarks,e8abb76885b5479a369356a43cece845b2ce0888
linyiqun/DataMiningAlgorithm,6f5caa12cae4535d936a9b6d533e18640881966c
h2pl/JavaTutorial,183bf66bea9599a14c8598d6df28fcad26248d35
debezium/debezium,78c44c937c105375a5849e9d4e4b6d1848f48044
springfox/springfox,ab5868471cdbaf54dac01af12933fe0437cf2b01
cabaletta/baritone,91588caf7dfbded6cd5f80e2e5a12524be54dd0b
checkstyle/checkstyle,a7fa83a3de92486dd7033b45bc5364ca3eae9725
PaperMC/Paper,f36bb597399b9b9b632caa4f938c28ca137583f5
knowm/XChange,937607eaee8909485475c29e73b6afe8cecb98ba
ffay/lanproxy,6d3c97f5a3ca914cdf3fa849b7d615fb2e892def
bethrobson/Head-First-Design-Patterns,c8b5e9631485463bb6442f2a471c26fcf2525291
bitcoinj/bitcoinj,f190f589e622cc98ff4ddbd6e414e4f04a68eb63
frogermcs/InstaMaterial,6a8f6261c3633a1bfc09f95754c4300f42e5da23
hansonwang99/Spring-Boot-In-Action,807fd37643aa774b94fd004cc3adbd29ca17e9aa
Nepxion/Discovery,142b4d6a411a9f2e8730b0ceb613f87848b77e8d
jagrosh/MusicBot,2c76164f6d1e3fb270c5d987cfd37e94ff04a899
openmrs/openmrs-core,6ef14e91b3365a771569923b2425fd0e54ea11ce
baomidou/mybatis-plus-samples,f86979b292926ee7a9efb7fbc5db24ba5f787d09
hackware1993/MagicIndicator,2b8e246878bff780401211196438c78611d02cca
liquibase/liquibase,b14d88860d9dd8f555a13809ea90acd0e21b07da
wiremock/wiremock,aadd685927729db9d8c7b5797282d7e7aa0bb62d
jeequan/jeepay,4b31ea1a44a5f042cf6943ada4c2ef1d8307e511
gephi/gephi,a42603fd0cb2c209f96c79481dcc1f7195058822
abel533/MyBatis-Spring-Boot,61c1d1da93ee290d48d317427b7770ab604b16b5
spring-io/initializr,a612c27caf69566ec9f1df6a0bc686a4519f8687
NLPchina/elasticsearch-sql,640ebe53a2b60a523a95abc3eb07710bf0a0b81d
apache/calcite,ab3f5b0e800b2166f130fa75fc3a67f6961b5082
citerus/dddsample-core,88700971072fad9c0bb2226b4affe2ddf27b031b
apache/groovy,02f418f5737aab1a0edddec255ba4596ef34d867
spring-guides/gs-rest-service,26672b3b297e826b8a7d36b20aa69961ecf9a099
dromara/hmily,edb962e69b225c77062d069bdebde583f7c572fc
apache/shardingsphere-elasticjob,16dd2fc7c0399572d2824fc6689bffa3339b0b76
jeecgboot/JimuReport,e97d810ee99e7c9c4d5ad793daae2a6d5e8400bd
zfile-dev/zfile,e5c6a1aca4070bedca2ea28dbb0cf6a7cae894f5
roncoo/roncoo-pay,9428382af21cd5568319eae7429b7e1d0332ff40
apache/tomcat,cc4a51aca8cd08b76e35a5ce40656b5984c18889
apache/hudi,b77286f176f1a606c807139042c2bd1f56883016
LandGrey/SpringBootVulExploit,0fdbb4409fc0acc74c787f5003166c7182fff9df
alibaba/otter,47327389943d416628d311c2287b64dc1a123fc3
zhoutaoo/SpringCloud,66330fa22403bc1db4b16f4c1bdc25116065e1c9
ververica/flink-cdc-connectors,95af1a53052b893d264e7c83d9ac1a4dca982661
junit-team/junit5,ca5f02bb134abf71367964bec4fb204d9572c5d0
Vedenin/useful-java-links,5d36d54b2b1a6ccd3ab785d95bb9cb184dd8425a
Snailclimb/guide-rpc-framework,cad92cb16314b406a6bbae8dbe3eb97f06ca2047
apache/iceberg,c862b9177af8e2d83122220764a056f3b96fd00c
cucumber/cucumber-jvm,a2c9e8b02837459fbcc077410c387be86c4d103d
lets-blade/blade,ecf15b06647a1640036933219c5dabeaf75335f0
kubernetes-client/java,212bb209d7b3d9ec4f9acfa3accb10b592f003fb
novicezk/midjourney-proxy,f88e19686266853636dd653b52ab61b52c7e143c
codingapi/tx-lcn,f8ce807b8a820cfb4e8290eec132fa4e3e8da3fd
Exrick/xmall,19e7917d5ed3bd2a2421a3a246ad494c133ba94c
javaee-samples/javaee7-samples,4a67b232d71bc2b3b6d418e955218fa71741b943
spring-projects/spring-security,58bc03105a10ba85b55fb64e27fbf3b503332d72
liuyubobobo/Play-with-Algorithms,fe2c46aff13c5650cb5b727cf3027488d339d89c
OpenTSDB/opentsdb,9de0f9f31e2524ccb5843b631ded9c4ba09f5a17
seata/seata-samples,4e4a579aa7d7866b1a786f5d347c2b333e1bb0ec
Baeldung/spring-security-oauth,72f262e5cff1022cfc3492bb3c2fccb025252159
sofastack/sofa-boot,3d76d86a55ade859f70bfcecc6aac35e5adc7e1b
software-mansion/react-native-svg,f9c7d8a807c8dc5b21e8ac0358a9bf7a820a1f61
JSQLParser/JSqlParser,5f09ec4914fbdd1e25f3719cc3768063ba8a055b
normanmaurer/netty-in-action,68e95e252f75bdd1869ff686553ba3cca098c0e8
youlookwhat/DesignPattern,aeed0759c023cf6db617ba3d7b88642fb066c5b7
didi/KnowStreaming,3b72f732be68edb4750ffa33b675ebf8450198eb
apache/seatunnel,8d2fafcf269de1be6964e39dec4b88c6e43d4afb
wildfirechat/im-server,7727fad4dc8f7019f7f5125476855cd0b8a6a3fd
CodingDocs/springboot-guide,76c018d7d898d61d9ce07a975c0056a36a5f9358
Javen205/IJPay,7788c868ab79418aef1cca075855e5ab7f64929d
Netflix/ribbon,9f3fe1b32b384b610a5bd237f901cdd34d07bfde
graphql-java/graphql-java,aae306959581bc92b2a92b525c61cf82ac869e83
dromara/lamp-cloud,db458c03bc32e751a4a3f99067594fb5297fea06
jOOQ/jOOQ,4bce9f79b74280837eb44813d4771ba94d3b59a1
will-che/flink-recommandSystem-demo,3aa7e4b95c2627b031ef6c2779802239b074e780
cryptomator/cryptomator,625334c6c8d314c21fc34f0815b10c9490a15d7f
JesusFreke/smali,2771eae0a11f07bd892732232e6ee4e32437230d
apache/cassandra,210a59b1948f467a652024badc8c7d6b81d543c1
Exrick/xboot,5277af0ea7db3cf085f8ef3be21329df5bb12cd9
rengwuxian/MaterialEditText,f6e9fa42213cda552764c2a63f93a1464fa91d04
google/closure-compiler,d27d9a1d674bc289b02f465626d016c74ee8c0ba
zouzg/mybatis-generator-gui,dde137711ac11e0a0ebc95be1d07a850b1365bf9
katzer/cordova-plugin-local-notifications,eb0ac58a8a8a9b4602f9c795c285abe089d5d10f
yusugomori/DeepLearning,739dfd1d7919c328e0d3b8129855c2ad71b80036
